Depth :28 Time :17
Depth :28 Time :3
Depth :28 Time :1
Depth :28 Time :92
Depth :28 Time :3
Depth :28 Time :45
Depth :28 Time :1
Depth :28 Time :36
Depth :28 Time :18
Depth :28 Time :1
Depth :28 Time :8
Depth :28 Time :506
Depth :28 Time :485
Depth :28 Time :293
Depth :28 Time :15
Depth :28 Time :1
Depth :28 Time :3
Depth :28 Time :1
Depth :28 Time :7
Depth :28 Time :517
Depth :28 Time :494
Depth :28 Time :459
Depth :28 Time :457
Depth :28 Time :15
Depth :28 Time :32
Depth :28 Time :4
Depth :28 Time :1
Depth :28 Time :1
Depth :28 Time :7
Depth :28 Time :203
Depth :28 Time :75
Depth :29 Time :4
Depth :29 Time :8
Depth :29 Time :2
Depth :29 Time :490
Depth :29 Time :271
Depth :29 Time :208
Depth :29 Time :4
Depth :29 Time :100
Depth :29 Time :21
Depth :29 Time :49
Depth :29 Time :1
Depth :29 Time :1
Depth :29 Time :10
Depth :29 Time :1
Depth :29 Time :12
Depth :29 Time :4
Depth :29 Time :1
Depth :29 Time :13
Depth :29 Time :54
Depth :29 Time :2
Depth :29 Time :3
Depth :29 Time :33
Depth :29 Time :4
Depth :29 Time :66
Depth :29 Time :2
Depth :29 Time :10
Depth :29 Time :113
Depth :29 Time :211
Depth :29 Time :1
Depth :29 Time :9
Depth :29 Time :12
Depth :29 Time :2
Depth :29 Time :72
Depth :29 Time :19
Depth :29 Time :10
Depth :29 Time :1
Depth :29 Time :1
Depth :29 Time :3
Depth :29 Time :166
Depth :29 Time :88
Depth :29 Time :2
Depth :29 Time :13
Depth :29 Time :9
Depth :29 Time :3
Depth :29 Time :1
Depth :29 Time :511
Depth :29 Time :514
Depth :29 Time :152
Depth :29 Time :12
Depth :29 Time :3
Depth :29 Time :1
Depth :29 Time :93
Depth :29 Time :215
Depth :29 Time :288
Depth :29 Time :185
Depth :29 Time :108
Depth :29 Time :126
Depth :29 Time :1
Depth :29 Time :9
Depth :29 Time :125
Depth :29 Time :1
Depth :29 Time :22
Depth :29 Time :10
Depth :29 Time :73
Depth :29 Time :11
Depth :29 Time :4
Depth :29 Time :1
Depth :29 Time :1
Depth :29 Time :1
Depth :29 Time :3
Depth :29 Time :11
Depth :29 Time :1
Depth :29 Time :3
Depth :29 Time :16
Depth :29 Time :10
Depth :29 Time :3
Depth :29 Time :1
Depth :29 Time :19
Depth :29 Time :1
Depth :29 Time :2
Depth :29 Time :2
Depth :29 Time :23
Depth :29 Time :1
Depth :29 Time :6
Depth :29 Time :19
Depth :29 Time :1
Depth :29 Time :2
Depth :29 Time :2
Depth :29 Time :8
Depth :29 Time :1
Depth :29 Time :505
Depth :29 Time :395
Depth :29 Time :206
Depth :29 Time :305
Depth :29 Time :140
Depth :29 Time :94
Depth :29 Time :22
Depth :29 Time :6
Depth :29 Time :36
Depth :29 Time :1
Depth :29 Time :32
Depth :29 Time :1
Depth :29 Time :6
Depth :29 Time :56
Depth :29 Time :9
Depth :29 Time :22
Depth :29 Time :4
Depth :29 Time :3
Depth :29 Time :1
Depth :29 Time :1
Depth :29 Time :21
Depth :29 Time :3
Depth :29 Time :8
Depth :29 Time :4
Depth :29 Time :1
Depth :29 Time :29
Depth :29 Time :1
Depth :29 Time :330
Depth :29 Time :79
Depth :29 Time :29
Depth :29 Time :4
Depth :29 Time :1
Depth :29 Time :1
Depth :29 Time :499
Depth :29 Time :510
Depth :29 Time :473
Depth :29 Time :282
Depth :29 Time :264
Depth :29 Time :364
Depth :29 Time :102
Depth :29 Time :7
Depth :29 Time :62
Depth :29 Time :1
Depth :29 Time :11
Depth :29 Time :2
Depth :29 Time :14
Depth :29 Time :54
Depth :29 Time :2
Depth :29 Time :5
Depth :29 Time :1
Depth :29 Time :2
