experiment,graph,skeleton,nodes,hpx_threads,workers,spawn_depth,backtrack_budget,run,timeout,wall_ms,cpu_ms,vc_size,exit_code,log_file
SEQ,san200_0.7_1.clq,seqvc,1,1,0,5,10000000,1,120m,7200010,,,124,/cluster/YewParVCTest/results_vc_full/logs/san200_0.7_1.clq.seqvc.r1.log
SEQ,san200_0.7_1.clq,seq,1,1,0,5,10000000,1,120m,7200014,,,124,/cluster/YewParVCTest/results_vc_full/logs/san200_0.7_1.clq.seq.r1.log
SEQ,san200_0.9_1.clq,seqvc,1,1,0,5,10000000,1,120m,7200010,,,124,/cluster/YewParVCTest/results_vc_full/logs/san200_0.9_1.clq.seqvc.r1.log
SEQ,san200_0.9_1.clq,seq,1,1,0,5,10000000,1,120m,7200022,,,124,/cluster/YewParVCTest/results_vc_full/logs/san200_0.9_1.clq.seq.r1.log
SEQ,san400_0.5_1.clq,seqvc,1,1,0,5,10000000,1,120m,7200010,,,124,/cluster/YewParVCTest/results_vc_full/logs/san400_0.5_1.clq.seqvc.r1.log
SEQ,san400_0.5_1.clq,seq,1,1,0,5,10000000,1,120m,7200014,,,124,/cluster/YewParVCTest/results_vc_full/logs/san400_0.5_1.clq.seq.r1.log
PAR,brock200_1.clq,depthbounded,1,32,31,5,10000000,1,120m,9644,9079,179,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_1.clq.ywp.depthbounded.n1.t32.r1.log
PAR,brock200_1.clq,depthbounded,2,32,62,5,10000000,1,120m,10754,9131,179,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_1.clq.ywp.depthbounded.n2.t32.r1.log
PAR,brock200_1.clq,depthbounded,4,32,124,5,10000000,1,120m,10789,9140,179,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_1.clq.ywp.depthbounded.n4.t32.r1.log
PAR,brock200_1.clq,depthbounded,8,32,248,5,10000000,1,120m,10840,9158,179,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_1.clq.ywp.depthbounded.n8.t32.r1.log
PAR,brock200_1.clq,budget,1,32,31,5,10000000,1,120m,10357,9825,179,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_1.clq.ywp.budget.n1.t32.r1.log
